Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Units_Sold_new
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,$103.00 ,218,"2,245","$1,257 ",Online,218
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,$103.00 ,163,"1,679",$806 ,Online,163
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,$10.00 ,700,"7,000","$3,150 ",Outlet,700
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,575,"8,625","$3,881 ",Outlet,575
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,475,"7,125","$3,206 ",Outlet,475
West Gear,1185732,01/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,475,"7,125","$2,494 ",In-store,475
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$20.00 ,450,"9,000","$3,150 ",Online,450
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,450,"6,750","$2,700 ",Online,450
West Gear,1185732,04/03/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$20.00 ,450,"9,000","$2,700 ",In-store,450
Foot Locker,1185732,03/10/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,434,"1,910",$993 ,Outlet,434
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store,425
West Gear,1185732,02/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,425,"6,375","$2,231 ",In-store,425
West Gear,1185732,06/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store,425
Amazon,1185732,04/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online,425
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,425,"6,375","$2,550 ",Online,425
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,$20.00 ,425,"8,500","$3,400 ",Online,425
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,$20.00 ,425,"8,500","$3,400 ",Online,425
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,425,"8,500","$2,975 ",Online,425
Walmart,1185732,05/03/2020,Northeast,New York,New York,Men's Street Footwear,$48.00 ,420,"2,016","$1,129 ",Outlet,420
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$39.00 ,408,"1,591",$875 ,Outlet,408
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,403,"1,854","$1,038 ",Outlet,403
West Gear,1185732,03/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,400,"8,000","$2,800 ",In-store,400
West Gear,1185732,06/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",In-store,400
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store,400
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"8,000","$2,800 ",In-store,400
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,400,"8,000","$3,200 ",Online,400
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,400,"6,000","$2,400 ",Online,400
Foot Locker,1185732,03/04/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,400,"1,880",$978 ,Outlet,400
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$40.00 ,390,"1,560",$811 ,Outlet,390
Foot Locker,1185732,01/07/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,388,"1,280",$666 ,Outlet,388
Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,$34.00 ,384,"1,306",$679 ,Outlet,384
Foot Locker,1185732,02/07/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$31.00 ,376,"1,166",$559 ,Outlet,376
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00 ,375,"7,500","$4,125 ",Outlet,375
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,375,"7,500","$2,625 ",In-store,375
West Gear,1185732,08/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store,375
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"7,500","$3,000 ",In-store,375
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online,375
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$15.00 ,375,"5,625","$1,969 ",Online,375
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,375,"5,625","$2,250 ",Online,375
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$41.00 ,375,"1,538",$800 ,Outlet,375
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"1,085",$445 ,Outlet,374
Walmart,1197831,09/01/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,"1,085",$445 ,Outlet,374
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,372,"1,228",$663 ,Outlet,372
Foot Locker,1185732,02/06/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,366,"1,610",$837 ,Outlet,366
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$56.00 ,360,"2,016","$1,250 ",Online,360
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,359,"1,328",$452 ,Outlet,359
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,355,"1,704",$511 ,Outlet,355
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,354,"1,628","$1,026 ",Online,354
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$47.00 ,352,"1,654",$447 ,Outlet,352
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store,350
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",In-store,350
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store,350
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",In-store,350
West Gear,1185732,05/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$25.00 ,350,"8,750","$3,063 ",In-store,350
